ACTIVIDAD,EMPRESAS
"(11) Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza",141
(21) Minería,133
"(22) Generación, transmisión y distribución de energía eléctrica, suministro de agua y de gas por ductos al consumidor final",163
(23) Construcción,373
(31) Industrias manufactureras,2985
(32) Industrias manufactureras,1598
(33) Industrias manufactureras,1844
(43) Comercio al por mayor,2108
(46) Comercio al por menor,28349
"(48) Transportes, correos y almacenamiento",360
"(49) Transportes, correos y almacenamiento",100
(51) Información en medios masivos,393
(52) Servicios financieros y de seguros,884
(53) Servicios inmobiliarios y de alquiler de bienes muebles e intangibles,1035
"(54) Servicios profesionales, científicos y técnicos",1323
(55) Corporativos,3
(56) Servicios de apoyo a los negocios y manejo de desechos y servicios de remediación,820
(61) Servicios educativos,1737
(62) Servicios de salud y de asistencia social,3626
"(71) Servicios de esparcimiento culturales y deportivos, y otros servicios recreativos",1134
(72) Servicios de alojamiento temporal y de preparación de alimentos y bebidas,8499
(81) Otros servicios excepto actividades gubernamentales,10400
"(93) Actividades legislativas, gubernamentales, de impartición de justicia y de organismos internacionales y extraterritoriales",1354
